userName,content,sentiment_label
Tri Astri,aplikasi nya aneh gilir mw daftar pas jam nya mlh logout pdhl sblmnya udh login gilir mw login lg terang nya http failed trs,negatif
Muhammad zikri Pratama putra,min tiket sumatera habis dr titik berangkat jakarta kuota rb yg download aplikasi rb min,negatif
Bernardus Patmo,bantu warga daerah tingkat cari halte tuju,positif
Vanisa Dwiyanti,daftar gagal pas dftr ulang terang nik daftar pesan gmna ya min,negatif
Aimanul ichsan w,aplikasi transportasi ecek jadwal record mesan tiket dll,positif
SyaJehan Aleska Ilmi,aplikasi udh di-update gabisa login loading,negatif
eno angga,sumpah trans solo bener kacau hp jatuh bus tb urgent hp harga jt turun darurat aja gabisa alhasil diturunin halte nya lari halte nya alhasil hp hilang,negatif
Ghesa Septian,aplikasi nya bagus bangett trecking teman bus kota yg tentu,positif
Har Yati,moga transmusi maju layan bus yg bantu aktifitas,positif
Anis Puspita sari,update aplikasi menu mudik gratis mana yakenapa ga karna buka hlm tampil,positif
Budi Gunarto,usul koridor stop bus seberang rs hermina,positif
Tukijan Ajja,login aman gilir  jam buka tiket error http failed try sampe tuwek ngono trus anehhhh,negatif
Riko Suwiryo,bagus sayang cakup terminal daerah gabisa program mudik gratis fyi orang bogor dekat terminal baranang siang sedia,positif
Nuni Sahamiah,mas muchi semangat yaaaa sehat sehat biar aplikasi ok mantap ,positif
Abdus Salam232,sangad bantu dlm mlakukan jalan trif bershabat dgn kantong masyarakat,positif
Kasoem 79,aplikasi modus doang buka gak masuk langsung masuk tiket habis masuk tiket habis,negatif
Ragiel,login email muncul minta wa tdk contoh gimana coba daftar,negatif
Ulfa Romadhon,alhamdulillah tracking teman bus kota bandung bun aplikasi teman bus jalan fiturnya,positif
Mba Yulia,bantu,positif
Nessa Maswita,manfaat bantu,positif
Badan Intelijen Negara,mantap kalo tracking teman bus aplikasi mitradarat udah akurat ga kayak kemaren ngetracking aplikasi teman bus mencet koridor eh yg koridor lain,positif
Riyan Amorra,sayangat bantu masyarakat,positif
Riguk Infany,manfaat apalahi yg jasa angkut darat moga depan tambah kembang,positif
Dania Dewi,bagus apknya mumpuni kalibut karyawan nya ramah jdi baik,negatif
barto lussy,aplikasi nya bagus mohon rute nya daerah denpasar rute jalan raya set arah pasar sang maaf salah,positif
Ika Suprihatin,login ngga ya tulis nya http failed please try udah coba uninstal ngga login,negatif
Iezam Kamal,kalo buka aplikasi suka tulis salah error dll jaring lancar jaya,negatif
ANDI KUSDIANTO,aplikasi lengkap  mudah terimakasih mitra darat kemenhub udah bantu,positif
Febryan Falentino Fredericktho,live trackingnya ga gunamalah bikin orang tinggal bus ga realtime,negatif
Devanka Putra111,parahhhhh buka udah habis tiket udah gitu costumer service nya wa respon ajah ngga,negatif
Jalu Sunu,keren sih moga anggar maintenance biar kepake tp jadwal min,positif
FLaM bOYAN,moga depan kalo damping lokasi mudik tdk ad tumpang yg tinggal rest area,negatif
Elya Erfiani,aplikasi mudah layan pos verifikasi cepat nyamanterimakasih mitra darat ,positif
Tastravel Umroh,aplikasi simpel mudah didonloud sabar krn banyak guna,positif
Lurah Kampung_sebelah,bug mana mudik gratis klo kuota penuh buka tuju loading nunggu kiamat,negatif
Merdira Ummaira,aplikasi sbnarnya dipake ga sih tiket mudik menit cek abis,negatif
Sri Handayani,daftar arus malang jakarta habissedangkan kemarin berangkat bangku bis yg kosong tolong revisi pakterima kasih,positif
Aka amri,enak offline ngorbanin ga kerja puas hasil lihat mu kaya kursi klik masukin data udah kelar eh kelar kursi habis kursi habis ga pake motor yg ikut ga dapet eh pas gilir jalan pake motor yg ngasih tau bis mas yg kosong lucu,negatif
Agus Ajah,upps aplikasi lot bagus buka mudik gratis langsung,negatif
Ramadhan fajar Pratama,otp kirim bener nomer tlp yg daftar akses,negatif
mochamad zainuddin,aplikasi bom matang min failed opsi aplikasi browser,negatif
Dimas Harianto,min fiturnya aktif aja  barusan buka apknya sisa fitur bus tracking ,positif
Edwin Duaz,arah sumatera barat padang gak bis keren keren artis sumbar,negatif
Frendy Aldo Tobing,aplikasi bagus fitur lengkap simpel modern,positif
Azzam Jaylani,tim urus mudik gratis tolong tingkat kerja sy daftar nya susah sy sdh klik kursi kosong pas sy isi data kirim tahu sdh habis tiket skrg sy susah kursi kosong utk mudik,positif
Muhammad Safrudin,ga login pas udh pilih berangkat tuju klok cari ga gimana ya,negatif
Eza Rayn,sampe lampung doang gratis rantau kota lampung kalo lampung tinggal nyebrang nyampe jakarta,negatif
Echi fo,masuk error mulu servernya pas daftar tiket gratis sengaja bngt errorin gmn ya,negatif
Karno 18,aplikasi ga siang log ga gilir udah login tiket nya habis ,negatif
Izar22 Aryadi,bantu jalan kerja nyaman keren poko mantappp,positif
Mail Mail,buka apk ny salah coba gk pakek gimna daftar ,negatif
Fera Angelina,gak pakai link taun nyalwt aplikasi kendala lemotgiliran pas buka habis,negatif
walang sangit,http failed please try versi sdh baru sesuai arah siang sen tiket gabisa help min,positif
Celia Setyowati,aplikasi eror tolong baik nih aplikasi aplikasi,negatif
kociss ciss,aplikasi gk cari gambar tiket doang gk hasil,negatif
Awan Gun,top aplikasi yg bantu mudik moga server nya biar gak lot,positif
Muhammad Dimas,aplikasi kunyuk ga mutu htp gagal ga gunakalo bagus tingkat,negatif
Supri Anto,klo tiket abis daftar nya tutup jgn buka bae udh aplikasi jelek bnr loadingnya adain mudik gratis,negatif
bagus wahyuni,klik fitur cantum http failed please try gimana ya mohon info nya tq,negatif
Totok Sugiyanto,yaelahbaru jg buka daftar aplikasi udah failed pie iki piebikin aplikasi yg benerlah,negatif
Maya Kumaya,muas tingkat layan adu biar ga nunggu,positif
dharma 02,syukur alhamdulillah bantu kemenhub sgt mudah skl daftar layan ramah mengasikkan smgthn gabung lg,positif
Fahmi Nazulmi,alhamdulillah mudik gratis bareng kemenhub layan bagus daftar mudah trimakasih kemenhub sukses,positif
Azzam Rbn,min gabisa login ya tulis nya http failed ya,negatif
Endri Tri Haknyo,log http failed gmn dpt kode otpnya,negatif
aqil pradana,verifikasi mudik gratis layan ramah cepat ribetsemoga tambh sukses,positif
Yuliawati Hidayah,dah download update ulanggiliran jam tg ga daftar mudikkezeelll sptny aplikasi blm siappp,negatif
RIZAL AL ARIFIN,sbelum daftar buka apk akses gilir udah buka jam apk ga si akses kalah yg pake iphone,negatif
Margiono 23#,gak info daftar nyayg masuksetelah masuk kuota mudik gerat habis semuatolog banyak kuota,negatif
Mardalih Dalih,udah buka aplikasi mitra darattapi tulis kota tuju yg muncul layar tiket habis,positif
Muhammad Ardiansyah,alhamdulillah dapet tiket gratis pp proses validasi cepat terima kasih,positif
Zuli Ningsih,manfaat usul alih jalur tolong kasih notif,positif
Andika Putra,bagus program kemenhub terimakasih aplikasi mitradarat bantu ,positif
Bahrun Rosyadi,terima kasih aplikasi bantu guna temanbus krn dpt posisi bus realtime,positif
Yuan Aulia,alhamdulillah tiket mudik gratis notifikasi aplikasi mitra darat aplikasi keren manfaat,positif
Fuji Lestari,daftar buka loading gak masuk sekali tiket habis,negatif
Kaamsalillulu Ilmaknun,login pke google susah timeout please try trs maksud ya kalo dpt ksh bintang pke website msh ganpang aj msh masuk coba sampe ngga hrs sabar lh gratis hahahaha sadar aj lh,negatif
Susanti Shanti,kali kali daftar mudik gratis gak halaman daftar gak buka gilir kuota habis buka,negatif
Reya Binawa,halo admin mohon maaf kuota tanggal skrg habis log tp masukin tujuqn cari logo koktak biru orens gt apaya,positif
Suhartoyo 77,layan nya ramah cepat mantap terima kasih,positif
Aqli Romario S,pecumah adu gak respon aplikasi gk seblum risli pikir resiko eror nya aplikasi apa,negatif
Risna,payah butuh eror trus ngebug ntar gilir kuota penuh ,negatif
Mirecel Safiti,puas puas maklum aplikasi murah engk masuk loding nunggu jodoh mudik ya jalan entar tanda,negatif
RaissaIbnusabil Sabil,sdh login tp tulis failed jd ga ngapa kak admin,negatif
Fajar Eka Saputra,lot min ga akses titik nerangkat titik tuju,positif
Satria Vlog,mudik gratis pas buka aplikasi aja error gabisa,negatif
Nurul Sinta,tiket nya sudh habis kah min daftar habis habis habis sampe saking bagi buka aplikasi nya jam,negatif
Pak Yadi,login tulis http failed inimohon baik,negatif
Dedi purnomo Driver,daftar mudik gratis buka jam pagipas jam aplikasi eror menit dah hbs gk kursi parah banget nih aplikasi,negatif
Faisal Akbar,aplikasi gak gak layak diinstal daftar mudik gratis ga opsi,negatif
pradikta channel,buka tgl maret pas login engga malam nyobaain langsung habis tiket ya nasib ya nasib terminal poris plawad tuju kebumen,negatif
Nur Sali,bk daftar mudik gratis pas bk aplikasi nya tiket hbs bk hbs kt nya tambah kuota,positif
HC X1,bantu masyarakat daftar tolong mudah habis tiket,negatif
TRI WAHYUNI,aplikasi ga buka ya buka nya,positif
Rak Haseo,si program kek gin utama bawa orang bukti suruh war tiket jam otomatis cek jam jam bawah jam lag aplikasi nyalahin internet ngakak jam cek tiket habis kwkwkwkkw negeri bro dont forget,negatif
Lia Apriyani,aplikasi bagus banget alhamdulillah tiket mudik gratis terimakasih kemenhub mitra darat,positif
Anisa Yuliani,udah download pas daftar muter muter tulis periksa jaring internet kuota haha,negatif
MZ007 RETURN,login jalan pemberitahuan http failed try mulu muat ulang,negatif
Angga Adi putra,aplikasi lot sistem login mudik gratis tolong baik,negatif
hendy nugroho,fitur mudik gratis sisa kursi pas klik kursi isi main,negatif
hari shijen,fungsi semuakalau live cctv terima kasih,positif
Bontot bowo,login bikin sensasi pagi smpai kerang login http eror,negatif
husni bita fira,min tolong mudik gratis yg kursi otomatis aja pilih bangku kalah cepet udah habis kayak kmren aja mohon timbang,positif
Bagus Hermanto,daftar mudik buka aplikasi nya fungsi daftar mudik gratis buka aplikasi nya gk pakai eror niat gk ngadain even mudik gratis,negatif
Nur Sandi Rahayu,sistem eror alhamdulillah dapet tiket mudik usir oknum nakal kasi yg mudik yg suka cencel kasih kasi yg butuh kalo arus tambhn donk jauh posisi mudik arus ga dapet sedih ih,positif
Arya Shd,gak lengkap terminal aja masuk gak treck,negatif
Ronny wijiantoro,aplikasi ga login account googlesama id apple gais gimana nih daftar,negatif
pradika ristiawan,bantu depan informasi,positif
satya abimayu,pas isi nama nik pas pencet kursi penuh udah milih kursi kalo udah milih kursi ga ambil orang aja udah isi nama nik pas kursi habis pas liat kursi,negatif
Novita Novita,masuk aplikasi knpa please try klo aplikasi  udh normal  dapet tiket  aq kasih bintang,negatif
Antoe Gantengku,min susah banget aplikasi pakai menu bebarapa aja utk cek mudik gratis susah,positif
WIDHITAMA,http failed connection error broken burner maaf aplikasi buruk gak guna install,negatif
Cah segong Gondrong,bantu mudah mudah lanjut,positif
Wicaksonobintang Susy,gak login udh coba ulang kali ga,negatif
Dahliyah Hasanudin,gmn nih min pas daftar jm sistem error  buka pas malemnya buka tiket habis ,negatif
Mister Alkaline,yg bikin heran langsung daftar offline yg tentu kantor dishub kota tangerang eh online dlu validasi kantor dishub nya hehe,negatif
Abeng Fariz,kereennn apps sulid buka traffic dahsyat,positif
lilie indah,login menu masukin telpon wa otp gak ya,negatif
Titi Widi,gak login yagagal mohon baik,negatif
Rahman Al karim,guna transportasi bantu aplikasi mitra darat,positif
Eni Setiyowati,udah instal gabisa login ya udh masukin email try,negatif
Ayu Rahayu,gak login email nya ya terang http failed try,positif
Edy Purnomo,napa posisi bus gak muncul,negatif
Dwi Kartini,alhamdulillah aplikasi inijd ngantri tinggal sabar aja ngedaftarnyasemoga lancar,positif
alfonsus anra,aplikasi bagus kerjasama layan transjakarta biar tau lokasi,positif
Herry Trismanto,dukung bg masyarakat yg kepingin wisata daerah ubud nusa klo bsa rute terace,positif
Nabila Gina Januari 0901,bus way lg karna tdk beroperational nunggu sblmx jalur gowa mall ramayana awas stand kash info klo jalur gowa sdh pindah mall panakkukang jam gak bus way sy bertax awas setlh sy mnggu mp bus tdk henti jalur mp saran meskipn sdh close bus ttp jalan tolong henti sesuai jalur thanks,negatif
Gerald Rafael,ringan beban masyarakat,positif
St. C,jadwal metode bayar kecewa,negatif
Yuuki Nisa,tinggal bus tinggal nyebrang udah lambai arah bus hrus nggu bus bgt,negatif
Akbar Fitriyanto,login kode otp krm wa gak min knp min gak login bantu nya min,positif
Fitriyani 77,aplikasi yg bagus alhamdulillah mudik gratis mitra darat,positif
R bee gaming,aplikasi membantuterutama mudik gratisya suksses mitradarat ya,positif
alfian dm,terima kasih bumn salah fasilitas sukses,positif
Amira Lalitha,alhamdulilah yaallah dapet tiket gratis dr mitra darat daftar makasih mitra darat sukses berkah aamiin,positif
Ras Wanraff,aplikasi bantu moga manfaat terimakasih,positif
ergiansa AZAHRA,bantu layan muas,positif
Crisis Action,gak login tulis http failed hadeh,negatif
eddy prayitno,buka udah susah akses gilir quota habis,negatif
Rio Givent Alvoncus Simanjorang,halte lengkap tanda bus trans metro deli kompleks ikan hiu kota bangun medan deli,negatif
Muhidin SPd,bagus tingkat upgrade,positif
MNM Show,terima kasih respons tunggu bus trans mamminasata titik halte aplikasi bilang jam operasional selesai aneh bus jam lewat lampu nyala bus jadwal aplikasi beda jadwal asli bus daerah,negatif
Tobias Tambunan,tolong tambah biskita transpakuan kota bogor aplikasi teman bus,negatif
Julianto,mo log fail ya kak mo log gagal tolong bantu,negatif
Dien Romli,aplikasi bagus bagi informasi masyarakat,positif
Khaerul Kurniawan,bis nya bngt dah dtngya selang mnt udh set jam lbh ga profesional bngt ,negatif
Wenda Wenda,aplikasi bagussangat bantu,positif
Kaspul Anwar,terimakasih kerja perintah bantu rakyat bukti,positif
FIRMANTO NAFILL (P Man),php doank jam pas buka auto habispadahal standby menit,negatif
Deris Irawan,bantu good,positif
Alimin Alimin,terimakasih bantu,positif
Ahmad Fadzlulloh,emng sengaja jaring stabil,negatif
kosin lamiarto,buka  udh jam alhamdulillah dapet tiket nya kebumen,positif
Hendri Stiawan,daftar mudik gratis buka langsung ngeblank tolong baik,negatif
FMH chanel,bintang,negatif
Anto Marjianto204,ya aplikasi mitra darat manfaat orang butuh terima kasih,positif
N_ahmad Badawi,nanya aplikasi diinstal hp loading mulu yah mohon bantu,positif
Frizal Widya Subagiyo,bantu terimakasih mitra bus,positif
Athiyah N.H,kacau sih gk keload mapsnya install uninstall brp kali,negatif
Maresh Ahza Danish,pilih jalan mudah senang,positif
Oki Adinegara,payah rute mudik gratis bus gak da rute  bandung mudik motis kereta api jg berangkat jakarta aja bohong habis kuota orang jakarta,negatif
Bagas Setiaji,apps nya gimn ngetik kota tuju ko gak ya,negatif
agus susanto,buka daftar langsung habis tiketsusah buka aplikasi terang tiket habis,negatif
Iyon Tri,masak iya daftar buka tiket habis coba jurus habis hebat,negatif
Aris Widodo,terima kasih menteri hubung tiket yg validasi nyata laku,negatif
"tomato,z Red boys",instal apk nya mncb untung tiket mudik gratis tp buset habus mulu hibgga sdh habis error server nya,negatif
Erna Setiawati,terima kasih kemen hub tiket gratis layan yg ,positif
Ribet Amat,apk lemod gilir tiket mudik gratis udah abis buka tawan bgt something,negatif
toni BA,bagus apk nya lancar dr download tinggal menu mudik gratis blm bs daftar nih,positif
Sulhan Farozi,aplikasi bangke http eror mulu sinyal udh bagus,negatif
Taufik Arif,menu tracking bus cek laik yg salah,positif
Muhammad Achmal,terimakasih dishub sedia trans semanggi surabaya mudah mahasiswa pergi ongkos murah,positif
Ria haha,apk nya gak akses error  mulu nih,negatif
Deny Davyy,muncul gambar tiket klik,negatif
Kaka Donie,event mudik gratis sistem nya lot bngt loadingnya,negatif
Aji GP,aplikasi bapuk standby nih http temu aneh,negatif
Yuli Ati,sy gak login kode otp gak kirim wa udh sy ulang trs gmn solusi,negatif
ega harto,oke layan mantap informasi lengkap mudah terima kasih mitra darat,positif
Rudi Utama,login kirim kode otp,negatif
ARIO PUJILAKSONO,oke tingkat kapasitas konten,positif
Halidiyah Syamlan,aplikasi penipugiliran pake daftar mudik gratiserorklo gak ikhlas gak ngadain acara mudik gratisbuat interent ajagak publik,negatif
Muhamad Ubaidillah,daftar buka aplikasi eror aneh bgt biasa aplikasi perintah jelek,negatif
Andi Prasetyo,gak dapatbaru buka apkikasi tiket habistiket habismaksud  mna coba,negatif
K D,aplikasi cepat ga ribet terverivikasi,positif
hay nama saya odading mang oleh,gg tau ni aplikasi goks,positif
Adi Hariyanto,aplikasi manfaat layan,positif
Yuda Tama,layan mudah cepat dah ramah,positif
sarno danang,terima kasih sedia mudik gratis gak gak sarana  yg buang sia sia,positif
Ana Fitria,error  trs ya  bus gratis try try,negatif
Miskiah Pahruddin,terimakasih teman bus,positif
Ujang Supardi askut,bus teman cimahi-bdgbdg-bale endah dgn fasilitas -tol lansia nyaman notes -tol bni ganti mandiri -mail gantimemang sprti kah yg pskai,positif
Ika Prastiwi,kalo tau tiket online mudik gratis klik kantor jual ofline main kaya gitu,negatif
Vadoli Ridho,bantu bus transmusi,positif
Al Zhum,ga bikin ga guna sumpah menuh - menuhin memori ngehabisin kuota doang,negatif
Adilalrizky,aplikasi bantu banget liat datang bis ,positif
Alfi Alfiani,terimakasih kemenhub layan moga depan dtambah kuota mudik gratis,positif
Priscilla Wulandari,jelek bagus teman bus lot parah gabisa buka,negatif
Farah Arniza,ga log pdhl lancar aja,negatif
Roziyah Yayah,apk ga buka loading,negatif
Catur Aji,minggu daftar mudik gratispdhl jam cobadari bus tuju penuh sampe bus penuhblm daftar,negatif
Erna Diva,bantu keluarga mudik gratis mitra daratkarena keluarga kumpul kampung halaman terimakasih mitra darat,positif
Kola Syaiku01,bantu aplikasi cepat tanggap,positif
Emi Amiuti,gak masuk https error tulis nya,positif
Rusmanto Rusmanto,buka mudah jd sulitmohon perhati,positif
Itaul Risqoh,laman eror nge war tiket mudik gratis baik masuk mudah,negatif
Desi eci,gilir udah jam nya buka failed ga udh menit ttp failed gimana,negatif
Nur Avia Marselina,daftar april tiket habis gimana sih kak yg ken mudik kecewa ,negatif
Arshaka Devandra,klik cari armada ga ya tgl klik cari ga nongol,positif
nopret bagus,nggak login td siang gilir jam siang sampe nggak bukaaaa,negatif
Yanianto Yanianto,layan sangar ramah bagus rapih,positif
hary Yanto,bantu layan ramah,positif
Lucky Agus,lot cepat respon aplikasi nya,positif
Purjianto Trans,aplikasi sangan mud bantu,positif
Akbar Channel,daftar pilih tuju gk bsa min,positif
Sumarjiyono,terimakasih layan ramah muas,positif
miko wara_wiri,terimakasih layan nya akses mudik gratis tiket habis,negatif
Efry effrazka,notif mudik yg gagal verifikasi mudik gratisgiliran cek ga habis,negatif
Armigo Melleng,bantu banget aplikasi pantau posisi bis rute tuju,positif
014_Indra Muliyana,bantu lacak bus kota,positif
Moh Amin Fauzi,login gagal mulu http failed terusss,negatif
Heru Riyadi,daftar masuk tulis http filed please try,negatif
Rendy Firmansyah Haris R,lihat rute loading nya,negatif
Amrulloh Amrulloh,udah kali downloadtetep gak otp masuk,negatif
Hafish Jelek,bagus loading lumayan,positif
Arin Ristiana,udh login tp ga menu masukin tlp wa ya min,negatif
Rahel Obeth,bagus sih bs track tp parah klo nyambung ubung sore bangeeeeeetttttt org yg mo ngejer bus ubud halte gor ngurah rai dpt bus krn brenti terminal ubung ujung org rogoh duit lbh yg niat irit bus bayar ojek mahal sop sih sop tp liat urgency jg liat sinkron dgn koridor tolong training drivernya komunikasi yg sadar sbg layan publik,negatif
yahya M,download mpe lebaran mas aja gak cek kala,negatif
Suparjo,minpendataran mudik gratis udh buka yako ngak muncultrims,positif
Triyono Banyumudal,kalo bagus nya,negatif
Muhammad Yusuf,udh jam tp ga bisaerror mlahan,negatif
D Tri Gustini,jd nyaman pakai kendara,positif
Supri Anto,hancur login siang sampe bmgak tiket mudik gak buka ampuuunn,negatif
Idan,error nga bsa login ,negatif
SerngengeLintang Wulan (Mas Lintang),daftar mudik pas buka error maintenant selang hari buka tiket habis nyesel download ,negatif
Andrea Surya Habibie,terimakasih mudik gratis moga bantu inikeren perintah,positif
abrar bpp,bagus tpi bimbing orang yg downlod,positif
Nisa Iyus,pake aplikasi tiket habis calo wkwk calo mudik gratis,negatif
Sinta Widiyanti_046,bagus min apk nya moga lancar jaya,positif
bambang ikhwan,mudik gratis pp gilir daftar motis gak bisakata server habis kuota sisa,negatif
Aryanto 203,parah kak aplikasi orang orang udah dapet tiket aplikasi eror trus jam pagi sampe jam malem,negatif
Purnomo,min knpa stiap buka aplikasi time trus ya minjd gak min buka mudik gratis,positif
M. sandi s,mudah ,positif
edi purwanto,kak pas login akun google masuk telepon,positif
Ika Novita,aplikasi gak buka ya http failed knp ya min,negatif
Susi Ncus,aplikasi user frienly guna banget klo pas musim mudik kyk gin,positif
Ali ali,aplikasi bantu pagi yg bepergianbaik,positif
Desta Priyatno,aplikasi lambat banget responnya,negatif
surya atmaja,bantu transportasi angkut,positif
ferdy rizky,gimana sih pemprov bekas jam tutup operasi jam udah gk bantar gebang,positif
fari hung,nggak akses https error ,negatif
Shondel Nza,terima kasih dishub moga gampang daftar,positif
Noer Doank,loadingnya bngt nge lag,negatif
Narendra Wisnu Karisma,moga aplikasi lengkap informasi rute bus akap,positif
Fadhilah Laila Ramadhani,apk nya lag parah min loading mulu,negatif
ahmad Nov,aplikasi mudah layan cepatpetugas ramah mantaaaab,positif
Syakir Arasyid,komentar bintang bagi tiket mudik min ribu pemudiksiip mantab customer nya responsif bantu sulit,negatif
Moh Amrul,aplikasi mudah bantu,positif
denok agustina,daftar mudik gratis gmnakok gk muncul menunyapdhal sinyal,negatif
Riski Saputro,daftar mudik gratis tanggal ya min barusan akses full kuota,positif
Irfan Djindang,aplikasi bantu jalan,positif
Yuli Iskandar,gak buka lot aplikasi,negatif
Msnazar,info mudik gratisbaru buka dah habis info gak dibales bales aplikasi mudik gratis bikin siapapayah aplikasi ecek ecek gak niat bikin,negatif
Anasrul Safawi,ga bagi tiket mudik yg tentu ga buka,negatif
putra putrawan,aplikasi ko masuk alesannya ganggu mulu,negatif
Asrob,tingkat kn layan publik pilih,positif
Tiff _,layan ramah,positif
VALLENT PUTRA,informasi gk batal gk tera utk daerah duuuullll dul,negatif
Redy Yusrivan,apk kalo mmng bantu mudik ush pake seleksi sgla aja hahaha apk,negatif
ami yaumi,aplikasi bagus fast respon akurat,positif
Alfi Aspihani,super lelet susah login nya,negatif
agung sutrisno,didownloadpdhal kuota penuh sinyal penuh,negatif
Deni Sopfian,aplikasi ok bangetsangat batu utk pulang kampungbagus dh pooknya,positif
Graffi Prasetyo,hp kompatibel hp,positif
Fajar Ardiyansyah,gimana login http failed ya,negatif
M Fajar Qomaru Zaman,lumayan utk bahan informasi arus mudik gak mudik,positif
Teny Berliana sari,aplikasi gk bukaaa nyebelinnn,negatif
Wahyu Ni,layan ramah rapih,positif
Rusmini Atun,banget server nya gilir war tiket,negatif
Ridwan Azis,login http failed coba baik,negatif
Irsyad Huda,install maret malem daftar sdh habis uninstall aja ya kuota kah,negatif
wanto kosongnamlapan,bagi tiket buka tgl april gimana solusi,positif
Anik Widayati,jam mpe ga buka aplikasi ,positif
Sudi arso,masuk masuk habis,negatif
Hendri Pansel,aplikasi yg bikin emosibnyak bngt kendala,negatif
Sugeng Sutrisno,daftar pas tgl maret kuota udah abishahaha,negatif
Trio Yono,barusan buka link nya tp ko ga masuk yahapa eror,positif
EKA LESTI,gak daftar login,negatif
ispri adi,apk error  ga bukagiliran buka tiket sdh habis,negatif
Ade Febrianto,informasi aktual,positif
Wahyu Nur Pratama,tiket udh abis error,positif
Siwi Sutanto,tiket hitung jam tuju habis ya min,negatif
rafif diron,kuota ko sempit yahbaru daftar cilacap habis aja tiket,negatif
Cahya amalia Putri,min aplikasi udah jam gimana daftar,positif
agus riyanto,bagus mudah praktis,positif
agung winanta,cepat ribetpelayanan bagus,positif
Arda A,gak login failed mulu,negatif
Damayanti Dian,aplikasi ga ga buka klo aplikasi perintah jelek yak,negatif
Frank Ã¢ÂÂankin_Ã£ÂÂ¢Ã£ÂÂ³Ã£ÂÂ­Ã£ÂÂ³Ã¢ÂÂ,mudah masyarakat kenal layan sedia perintah transportasi darat bravo ,positif
Mata Air,udah publis download otp nya susaaah bgt tau tau ntar penuh,negatif
Farid Alfaruq,ga logineror http failed,positif
BRN Transport,data massa uji ter update pdhl sdh uji,negatif
Riski Agung,eror ga masukparah nih beneran mudik gratis suruh download apk doang,negatif
tri amiyani,http failedbelum daftar gak pakai,negatif
Fitriana Pramesthi,aplikasi ya min coba masuk,negatif
Barimin 123,cepat mantap,positif
lis wati,layan bagus sukses mitra darat,positif
Adli agamfairuz,tgl tdk login daftar mudik gratisskrng tiket udah abis kecewa sy donwlod aplikasi nya,negatif
Evi_dwi wa,layan cepat ramah tugas,positif
alif hayun,aplikasi masuk gagal,negatif
Esih Sukaesih,gembel ngebug gabisa login pake gmail,negatif
Noer Suplindo,bintang ajaaplikasi aja pake eror mulumaaf uninstal,negatif
Hari Farmadi,aplikasi gak gak login,negatif
Shintiya Setiya,tetep gk login nih min,negatif
Zayin Adja01,http nya eror mulukalau bom siapjangan paksa utk publikasi,negatif
Trie Dewie,bantu terimakasih mitra darat,positif
Vhea Amalia,gak buka http eror dr pagi gmn daftar,negatif
virgo Rant,aplikasi cek tiket muncul,negatif
Agus Poter,bagus program nyamembantu,negatif
Eko Paull,download tiket tuju udh habis semua,negatif
harmadi ht,proses mudah cepat,positif
Miftahul Hadi,bagus enak kemarin pakai web,positif
Siti Rominah,layan nya bagus nyaman tahan terima kasih,positif
whahyu dhanoe,layan cepat tugas ramah,positif
Jumin Suyono,buka daftar menit tiket kuota habis,negatif
lukman hakim,aplikasi akses ya daftar mudik gratis,negatif
Ariel Chandrawinata,aplikasi ga bermanfaatmana daftar,negatif
Yanti Noval,terikasih adain mudik gratis bantu ramah mbakny masy melayaninny good jobbbb,positif
syabil ok,sen tiket mudik http eror mulu waduhhh mudah loadingnya ambil tiket mlh gagal mulu,negatif
Alif Fadil,http failed mulu ya,negatif
Balqis Nirmala,gimana sih susah bgt ga daftar failid mulu,negatif
Dwi Ratmoko,buka aplikasi respon tiket habis,negatif
Ari Yanto,mudah akses bantu proses cari,positif
roni sugiawan,gak login http eror,negatif
Wahyu Tri,buka mudik gratis lsg buka kuota langsung habis,negatif
Riska,ponsel gak buka ya apk nya,negatif
Fatir Fatir,bagus bngt aplikasi mitra darat bantu rantau thn dpt tiket mudik gratis,positif
Fadhil Axx,ga login failed,negatif
Muhammad Dhafa,ga tugas bilang jam berangkat jam berangkat tolong bilangin tugas kasih tunjuk,negatif
Ahmad Muholani,alamat valid tdk login,negatif
Abiy Zaenal,war mudik gratis main server cincai cncai pake pulus,negatif
Fesya Marcelyna,failed teruss ya,negatif
Ananda Raihanul . I,hr masuk lokasi berangkat kota tuju loading doang min kuota sdh habis ato gmn,negatif
bengbeng tigabelas,http failid terusgak login,negatif
Laras Wati,gk login http failed,positif
harzo hrichs,pilih lokasi berangkat pilih lokasi tujuansaya bekas kota,negatif
Andre Ardian,bantu masukin rute gada pilih mentok situ aja,negatif
chika anggun,kak ga otp ya ga masukin data,positif
Gentur Banyu,login susah bener ya min gara server penuh,positif
Rosihin Driver,min login tiket habis yahini mohon bantu terima kasih,positif
sumirah soleh,terimaksih mudik gratis moga kemenhub jaya,positif
Sony Tryanggoro,pas daftar failed,negatif
Daffa Iman,tracking feeder mus blm ya,positif
Ibrahim Ibrahim,login klo sdh login dpt tiket mudik gratis nya ubah bintang bintang trimakasih,negatif
Izaa Syahidah,aplikasi gak manfaatgak niat ngasih fasilitas,negatif
Marchonell,orror trus min pilih armada gk nyari tiket mudik gratis gk,negatif
Jenny Riyana,udah donwload tp gak,negatif
Andriansyah Sufari,ko dh jam menit buka aplikasi,negatif
lina solikha,layan baikramah bersahabatterimakasih kemenhub,positif
